movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score
(500) Days of Summer,76,2009-07-17,35954425.14,2009-07-17,95.0,PG-13,Romance,Fox Searchlight,Marc Webb,"Mason Novick,Mark S. Waters, ,(executive)",8325000.0,1048.0,"Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloe Moretz,Clark Gregg,Minka Kelly*","Scott Neustadter,Michael H. Weber",,"Mychael Danna,Rob Simonsen",7,2009,1.11,34307.6575763,106608489.403,117823777.205
10 Things I Hate About You,70,1999-03-31,54594777.38,1999-03-31,97.0,PG-13,Romantic Comedy,Buena Vista,,"Jeffrey Chernov, ,(executive),Andrew Lazar",42900000.0,2311.0,"Julia Stiles,Heath Ledger,Joseph Gordon-Levitt","Karen McCullah Lutz,Kirsten Smith",,,3,1999,1.43,23623.8759758,55041738.0,56834362.0
12 Years a Slave,97,2013-10-18,57805432.86,2013-10-18,133.0,R,Drama,Fox Searchlight,Steve McQueen (II),"Dede Gardner,Jeremy Kleiner,Steve McQueen (II),Arnon Milchan,Brad Pitt,John Ridley, ,(executive)",20400000.0,1474.0,"Michael K. Williams,Chiwetel Ejiofor,Michael Fassbender,Brad Pitt,Benedict Cumberbatch,Paul Dano,Sarah Paulson,Alfre Woodard,Paul Giamatti,Lupita Nyong'o",John Ridley,,Hans Zimmer,10,2013,1.02,39216.7115739,115932269.41,115543432.13
13 Going on 30,57,2004-04-23,72112001.22,2004-04-23,97.0,PG-13,Fantasy Comedy,Sony (Revolution),Gary Winick,"Todd Garner, ,(executive)",46620000.0,3453.0,"Andy Serkis,Jennifer Garner,Mark Ruffalo",,"Don Burgess, ,(director of photography)",Theodore Shapiro,4,2004,1.26,20883.8694526,467443946.085,88317005.7129
1408,64,2007-06-22,82783472.2,2007-06-22,94.0,PG-13,Horror,MGM (Weinstein),Mikael Hafstrom,Lorenzo di Bonaventura,28750000.0,2733.0,"John Cusack,Samuel L. Jackson,Mary McCormack,Tony Shalhoub","Matt Greenberg,Scott Alexander,Larry Karaszewski",Benoit Delhomme,Gabriel Yared,6,2007,1.15,30290.3301134,94389650.8661,63199325.028
15 Minutes,34,2001-03-09,32700759.68,2001-03-09,120.0,R,Thriller,New Line,John Herzfeld,Nick Wechsler,80400000.0,2337.0,"Robert DeNiro,Edward Burns,Kelsey Grammer,Vera Farmiga,Charlize Theron*",,,,3,2001,1.34,13992.622884,216540909.0,2978328.88
2 Fast 2 Furious,38,2003-06-06,164029822.29,2003-06-06,101.0,PG-13,Action,Universal,John Singleton,"Lee R. Mayes,Neal H. Moritz",98040000.0,3418.0,"Paul Walker,Tyrese Gibson,Eva Mendes,Cole Hauser,Chris 'Ludacris' Bridges,Devon Aoki,Michael Ealy*",,,David Arnold,6,2003,1.29,47990.00067,87547790.5,84353939.915
2 Guns,55,2013-08-02,77124709.2,2013-08-02,109.0,R,Action Comedy,Universal,Baltasar Kormakur,"Randall Emmett,George Furla,Marc Platt,Steven Saxton, ,(executive)",62220000.0,3028.0,"Denzel Washington,Mark Wahlberg,Paula Patton,Bill Paxton,James Marsden,Fred Ward,Edward James Olmos",Blake Masters,,Clinton Shorter,8,2013,1.02,25470.5116248,219878898.8,59056813.7818
2012,49,2009-11-13,184384505.37,2009-11-13,158.0,PG-13,Action Drama,Sony / Columbia,Roland Emmerich,"Larry J. Franco,Mark Gordon,Harald Kloser",222000000.0,3444.0,"Chiwetel Ejiofor,John Cusack,Woody Harrelson,Thandie Newton,Amanda Peet,Danny Glover",,,"Harald Kloser,Thomas Wander",11,2009,1.11,53537.8935453,88617388.1089,158699984.912
21,48,2008-03-28,90086895.15,2008-03-28,123.0,PG-13,Drama,Sony / Columbia,Robert Luketic,"Dana Brunetti,Michael De Luca,Ryan Kavanaugh, ,(executive)",38850000.0,2952.0,"Jim Sturgess,Kevin Spacey,Kate Bosworth,Laurence Fishburne,Josh Gad",Allan Loeb,,David Sardy,3,2008,1.11,30517.2409045,132807625.918,66992426.8756
