movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score
(500) Days of Summer,76,2009-07-17,35954425.14,2009-07-17,95.0,PG-13,Romance,Fox Searchlight,Marc Webb,"Mason Novick,Mark S. Waters, ,(executive)",8325000.0,1048.0,"Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloe Moretz,Clark Gregg,Minka Kelly*","Scott Neustadter,Michael H. Weber",,"Mychael Danna,Rob Simonsen",7,2009,1.11,34307.6575763,106608489.403
10 Things I Hate About You,70,1999-03-31,54594777.38,1999-03-31,97.0,PG-13,Romantic Comedy,Buena Vista,,"Jeffrey Chernov, ,(executive),Andrew Lazar",42900000.0,2311.0,"Julia Stiles,Heath Ledger,Joseph Gordon-Levitt","Karen McCullah Lutz,Kirsten Smith",,,3,1999,1.43,23623.8759758,55041738.0
102 Dalmatians,35,2000-11-22,92400695.88,2000-11-22,104.0,G,Family Comedy,Buena Vista,,,117300000.0,2704.0,"Glenn Close,Gerard Depardieu,Ioan Gruffudd",,,,11,2000,1.38,34171.8549852,64946032.64
10th & Wolf,36,2006-08-18,64548.36,2006-08-18,110.0,R,Crime Drama,ThinkFilm,,,9440000.0,6.0,"James Marsden,Giovanni Ribisi,Brad Renfro,Piper Perabo,Dennis Hopper,Lesley Ann Warren,Val Kilmer",,,Aaron Zigman,8,2006,1.18,10758.06,161991926.429
12 Years a Slave,97,2013-10-18,57805432.86,2013-10-18,133.0,R,Drama,Fox Searchlight,Steve McQueen (II),"Dede Gardner,Jeremy Kleiner,Steve McQueen (II),Arnon Milchan,Brad Pitt,John Ridley, ,(executive)",20400000.0,1474.0,"Michael K. Williams,Chiwetel Ejiofor,Michael Fassbender,Brad Pitt,Benedict Cumberbatch,Paul Dano,Sarah Paulson,Alfre Woodard,Paul Giamatti,Lupita Nyong'o",John Ridley,,Hans Zimmer,10,2013,1.02,39216.7115739,115932269.41
127 Hours,82,2010-11-05,19985400.7,2010-11-05,93.0,R,Drama,Fox Searchlight,Danny Boyle,Danny Boyle,19620000.0,916.0,"James Franco,Lizzy Caplan,Kate Mara,Amber Tamblyn,Treat Williams,Clemence Posey","Simon Beaufoy,Danny Boyle",,A.R. Rahman,11,2010,1.09,21818.1230349,149236102.008
13 Going on 30,57,2004-04-23,72112001.22,2004-04-23,97.0,PG-13,Fantasy Comedy,Sony (Revolution),Gary Winick,"Todd Garner, ,(executive)",46620000.0,3453.0,"Andy Serkis,Jennifer Garner,Mark Ruffalo",,"Don Burgess, ,(director of photography)",Theodore Shapiro,4,2004,1.26,20883.8694526,467443946.085
1408,64,2007-06-22,82783472.2,2007-06-22,94.0,PG-13,Horror,MGM (Weinstein),Mikael Hafstrom,Lorenzo di Bonaventura,28750000.0,2733.0,"John Cusack,Samuel L. Jackson,Mary McCormack,Tony Shalhoub","Matt Greenberg,Scott Alexander,Larry Karaszewski",Benoit Delhomme,Gabriel Yared,6,2007,1.15,30290.3301134,94389650.8661
15 Minutes,34,2001-03-09,32700759.68,2001-03-09,120.0,R,Thriller,New Line,John Herzfeld,Nick Wechsler,80400000.0,2337.0,"Robert DeNiro,Edward Burns,Kelsey Grammer,Vera Farmiga,Charlize Theron*",,,,3,2001,1.34,13992.622884,216540909.0
2 Fast 2 Furious,38,2003-06-06,164029822.29,2003-06-06,101.0,PG-13,Action,Universal,John Singleton,"Lee R. Mayes,Neal H. Moritz",98040000.0,3418.0,"Paul Walker,Tyrese Gibson,Eva Mendes,Cole Hauser,Chris 'Ludacris' Bridges,Devon Aoki,Michael Ealy*",,,David Arnold,6,2003,1.29,47990.00067,87547790.5
2 Guns,55,2013-08-02,77124709.2,2013-08-02,109.0,R,Action Comedy,Universal,Baltasar Kormakur,"Randall Emmett,George Furla,Marc Platt,Steven Saxton, ,(executive)",62220000.0,3028.0,"Denzel Washington,Mark Wahlberg,Paula Patton,Bill Paxton,James Marsden,Fred Ward,Edward James Olmos",Blake Masters,,Clinton Shorter,8,2013,1.02,25470.5116248,219878898.8
200 Cigarettes,33,1999-02-26,9799003.5,1999-02-26,101.0,R,Comedy,Paramount,,"Tom Rosenberg, ,(executive),Richard Wright, ,(executive)",8580000.0,978.0,"Paul Rudd,Ben Affleck,Kate Hudson,Casey Affleck,Christina Ricci",,,Mark Mothersbaugh,2,1999,1.43,10019.4309816,150947988.0
2012,49,2009-11-13,184384505.37,2009-11-13,158.0,PG-13,Action Drama,Sony / Columbia,Roland Emmerich,"Larry J. Franco,Mark Gordon,Harald Kloser",222000000.0,3444.0,"Chiwetel Ejiofor,John Cusack,Woody Harrelson,Thandie Newton,Amanda Peet,Danny Glover",,,"Harald Kloser,Thomas Wander",11,2009,1.11,53537.8935453,88617388.1089
2046,78,2005-08-05,1762397.36,2005-08-05,129.0,R,Foreign,Sony Classics,Wong Kar Wai,Wong Kar Wai,14640000.0,61.0,Zhang Ziyi,Wong Kar Wai,Christopher Doyle,,8,2005,1.22,28891.76,182494536.847
21,48,2008-03-28,90086895.15,2008-03-28,123.0,PG-13,Drama,Sony / Columbia,Robert Luketic,"Dana Brunetti,Michael De Luca,Ryan Kavanaugh, ,(executive)",38850000.0,2952.0,"Jim Sturgess,Kevin Spacey,Kate Bosworth,Laurence Fishburne,Josh Gad",Allan Loeb,,David Sardy,3,2008,1.11,30517.2409045,132807625.918
21 and Over,34,2013-03-01,26196027.6,2013-03-01,93.0,R,Comedy,Relativity,,"David Hoberman,Ryan Kavanaugh,Jon Lucas, ,(executive),Scott Moore, ,(executive),Tucker Tooley, ,(executive)",13260000.0,2771.0,"Miles Teller,Skylar Astin,Justin Chon","Jon Lucas,Scott Moore",,Lyle Workman,3,2013,1.02,9453.63680982,28670289.87
21 Grams,70,2003-11-21,21014714.04,2003-11-21,125.0,R,Drama,Focus Features,Alejandro Gonzlez Irritu,"Alejandro Gonzlez Irritu,Ted Hope, ,(executive)",25800000.0,411.0,"Sean Penn,Naomi Watts,Danny Huston,Benicio Del Toro,Eddie Marsan*,Melissa Leo*",Guillermo Arriaga,,,11,2003,1.29,51130.6910949,87256815.28
21 Jump Street,69,2012-03-16,143985573.68,2012-03-16,109.0,R,Action Comedy,Sony / Columbia,,"Jonah Hill, ,(executive),Neal H. Moritz,Channing Tatum, ,(executive)",43680000.0,3148.0,"Jonah Hill,Channing Tatum,Brie Larson,Dave Franco,Rob Riggle,Ice Cube,Ellie Kemper,Jake Johnson*,Chris Parnell*,Johnny Depp*, ,(Cameo)","Michael Bacall,Jonah Hill, ,(story)",,Mark Mothersbaugh,3,2012,1.04,45738.7464041,179253128.5
22 Jump Street,71,2014-06-13,193636530.37,2014-06-13,112.0,R,Action Comedy,Sony / Columbia,,"Reid Carolin, ,(executive),Jonah Hill,Phil Lord, ,(executive),Chris Miller (II), ,(executive),Neal H. Moritz,Channing Tatum",50500000.0,3426.0,"Jonah Hill,Channing Tatum,Ice Cube,Peter Stormare,Nick Offerman,Dave Franco*,Rob Riggle*","Michael Bacall,Rodney Rothman,Oren Uziel",,Mark Mothersbaugh,6,2014,1.01,56519.7111413,260338298.92
25th Hour,67,2002-12-19,17271665.4,2002-12-19,134.0,R,Crime Drama,Buena Vista,Spike Lee,"Jon Kilik,Nick Wechsler, ,(executive)",6600000.0,495.0,"Edward Norton,Philip Seymour Hoffman,Barry Pepper,Rosario Dawson,Anna Paquin,Brian Cox",David Benioff,,Terence Blanchard,12,2002,1.32,34892.2533333,171762953.86
27 Dresses,47,2008-01-18,85257605.94,2008-01-18,107.0,PG-13,Romantic Comedy,Fox,Anne Fletcher,"Roger Birnbaum,Gary Barber,Jonathan Glickman,Jeffrey Silver, ,(co-producer)",33300000.0,3074.0,"Katherine Heigl,James Marsden,Malin Akerman",Aline Brosh McKenna,,Randy Edelman,1,2008,1.11,27735.0702472,142331820.518
28 Days,46,2000-04-14,51295273.44,2000-04-14,103.0,PG-13,Comedy / Drama,Sony / Columbia,Betty Thomas,,59340000.0,2523.0,"Sandra Bullock,Viggo Mortensen",Susannah Grant,Declan Quinn,,4,2000,1.38,20331.063591,53788163.0229
3 Days to Kill,40,2014-02-21,31004978.99,2014-02-21,117.0,PG-13,Action Thriller,Relativity,McG,"Luc Besson,Adi Hasak,Ryan Kavanaugh,Virginie Silla,Tucker Tooley, ,(executive)",28280000.0,2872.0,"Kevin Costner,Hailee Steinfeld,Amber Heard,Connie Nielsen","Luc Besson,Adi Hasak",,,2,2014,1.01,10795.6054979,124813405.135
30 Days of Night,53,2007-10-19,45504345.4,2007-10-19,113.0,R,Horror,Sony / Columbia,David Slade,Sam Raimi,34500000.0,2859.0,"Josh Hartnett,Melissa George,Danny Huston,Ben Foster",Stuart Beattie,,Brian Reitzell,10,2007,1.15,15916.175376,68520502.079
30 Minutes or Less,49,2011-08-12,39277159.44,2011-08-12,83.0,R,Action Comedy,Sony / Columbia,Ruben Fleischer,Ben Stiller,29680000.0,2888.0,"Jesse Eisenberg,Aziz Ansari,Danny McBride,Nick Swardson,Michael Pena,Fred Ward",Michael Diliberti,,"Nathan Barr,Ludwig Goransson",8,2011,1.06,13600.1244598,110765907.444
300,52,2007-03-09,242207179.85,2007-03-09,117.0,R,Period Action,Warner Bros.,Zack Snyder,"Scott Mednick, ,(executive),Gianni Nunnari,Mark Canton,Bernie Goldmann,Jeffrey Silver,Deborah Snyder, ,(executive),Thomas Tull, ,(executive)",74750000.0,3280.0,"Gerard Butler,Lena Headey,Dominic West,David Wenham,Michael Fassbender,Rodrigo Santoro","Michael B. Gordon,Kurt Johnstad,Frank Miller, ,(comic book),Zack Snyder",Larry Fong,Tyler Bates,3,2007,1.15,73843.6523933,46217285.985
3000 Miles to Graceland,21,2001-02-23,21104945.06,2001-02-23,125.0,R,Action Comedy,Warner Bros.,,"Don Carmody, ,(executive producer)",83080000.0,2545.0,"Kurt Russell,Kevin Costner,Courteney Cox,Christian Slater,Kevin Pollak,David Arquette,Jon Lovitz,Thomas Haden Church*",,,,2,2001,1.34,8292.70925737,109142515.167
42,62,2013-04-12,96920617.26,2013-04-12,128.0,PG-13,Sports Drama,Warner Bros.,Brian Helgeland,"Jason Clark, ,(executive),Jon Jashni, ,(executive),Thomas Tull",40800000.0,3405.0,"Chadwick Boseman,Harrison Ford,Alan Tudyk,Christopher Meloni,Lucas Black,John C. McGinley",Brian Helgeland,,Mark Isham,4,2013,1.02,28464.2047753,205877072.653
47 Ronin,28,2013-12-25,39129724.5,2013-12-25,127.0,PG-13,Action Drama,Universal,Carl Rinsch,"Pamela Abdy,Erwin Stoff, ,(executive),Scott Stuber, ,(executive)",178500000.0,2690.0,Keanu Reeves,"Hossein Amini,Chris Morgan",,Ilan Eshkeri,12,2013,1.02,14546.3659851,101371988.475
5 Days of War,31,2011-08-19,18527.74,2011-08-19,113.0,R,Action Drama,Anchor Bay Films,Renny Harlin,,12720000.0,6.0,"Rupert Friend,Val Kilmer,Andy Garcia,Dean Cain,Emmanuelle Chriqui,Heather Graham",,,,8,2011,1.06,3087.95666667,95403192.3111
50 First Dates,48,2004-02-13,152344173.24,2004-02-13,96.0,PG-13,Romantic Comedy,Sony / Columbia,Peter Segal,"Jack Giarraputo,Steve Golin,Daniel Lupi, ,(executive)",94500000.0,3612.0,"Adam Sandler,Drew Barrymore,Rob Schneider,Kevin James*",George Wing,,Teddy Castellucci,2,2004,1.26,42177.2351163,117009771.082
50/50,72,2011-09-30,37115043.52,2011-09-30,99.0,R,Comedy / Drama,Summit Entertainment,Jonathan Levine,"Evan Goldberg,Will Reiser, ,(executive),Seth Rogen",8480000.0,2479.0,"Seth Rogen,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,Anjelica Huston",Will Reiser,,Michael Giacchino,9,2011,1.06,14971.780363,132745412.253
8 Mile,77,2002-11-08,154111189.32,2002-11-08,118.0,R,Music Drama,Universal,Curtis Hanson,Brian Grazer,54120000.0,2585.0,"Eminem,Brittany Murphy,Kim Basinger,Anthony Mackie*",,,,11,2002,1.32,59617.4813617,72313411.816
8MM,19,1999-02-26,52428540.45,1999-02-26,124.0,R,Thriller,Sony / Columbia,Joel Schumacher,Gavin Polone,57200000.0,2370.0,"Nicolas Cage,Joaquin Phoenix,James Gandolfini",Andrew Kevin Walker,Robert Elswit,Mychael Danna,2,1999,1.43,22121.7470253,65444234.2857
9,60,2009-09-09,35242382.34,2009-09-09,79.0,PG-13,Animation,Focus Features,,"Timur Bekmambetov,Tim Burton",33300000.0,2060.0,"Elijah Wood, ,(Voice),Jennifer Connelly, ,(Voice),Martin Landau ,(Voice),Christopher Plummer, ,(Voice),John C. Reilly ,(Voice)",,,Deborah Lurie,9,2009,1.11,17107.9525922,197437328.808
90 Minutes in Heaven,28,2015-09-11,4842699.0,2015-09-11,121.0,PG-13,Drama,Samuel Goldwyn,Michael Polish,,5000000.0,899.0,"Kate Bosworth,Hayden Christensen",Michael Polish,,,9,2015,1.0,5386.76195773,175380547.16
99 Homes,76,2015-09-25,1411927.0,2015-09-25,112.0,R,Thriller,Broad Green Pictures,,,8000000.0,691.0,"Bruce Greenwood,Andrew Garfield,Michael Shannon,Laura Dern",,,,9,2015,1.0,2043.30969609,109728745.121
A Beautiful Mind,72,2001-12-21,228794736.94,2001-12-21,136.0,PG-13,Period Drama,Universal,Ron Howard,"Brian Grazer,Ron Howard",77720000.0,2250.0,"Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,Paul Bettany,Adam Goldberg,Josh Lucas",Akiva Goldsman,Roger Deakins,James Horner,12,2001,1.34,101686.549751,216540909.0
A Bug's Life,77,1998-11-25,162798565.0,1998-11-20,96.0,G,Animation,Buena Vista,John Lasseter,Darla K. Anderson,120000000.0,2773.0,"Kevin Spacey*, ,(Voice),Hayden Panettiere*, ,(Voice),Denis Leary* ,(Voice),Bonnie Hunt*, ,(Voice)","John Lasseter, ,(story),Andrew Stanton",,Randy Newman,11,1998,1.0,58708.4619546,172825435.0
A Cinderella Story,25,2004-07-16,64812100.5,2004-07-16,96.0,PG,Family Comedy,Warner Bros.,,"Hunt Lowry,Dylan Sellers,Casey La Scalla",23940000.0,2625.0,"Hilary Duff,Jennifer Coolidge,Chad Michael Murray",,,Christophe Beck,7,2004,1.26,24690.324,98593551.47
A Civil Action,68,1998-12-25,56709981.0,1998-12-25,115.0,PG-13,Drama / Thriller,Buena Vista,Steven Zaillian,Scott Rudin,75000000.0,2319.0,"John Travolta,Robert Duvall,Tony Shalhoub,William H. Macy,John Lithgow,Kathleen Quinlan,James Gandolfini*,Kathy Bates*, ,(Cameo),Sydney Pollack*",Steven Zaillian,,Danny Elfman,12,1998,1.0,24454.4980595,72243559.6667
A Few Good Men,62,1992-12-11,141340178.0,1992-12-11,138.0,R,Drama / Thriller,Columbia,Rob Reiner,,40000000.0,2201.0,"Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,Kiefer Sutherland,Kevin Pollak,J.T. Walsh,Cuba Gooding, Jr.*",Aaron Sorkin,,Marc Shaiman,12,1992,1.0,64216.3462063,133331690.667
