movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score,director_score,writers_score,composers_score,cinematographers_score
1408,64,2007-06-22,82783472.2,2007-06-22,94.0,PG-13,Horror,MGM (Weinstein),Mikael Hafstrom,Lorenzo di Bonaventura,28750000.0,2733.0,"John Cusack,Samuel L. Jackson,Mary McCormack,Tony Shalhoub","Matt Greenberg,Scott Alexander,Larry Karaszewski",Benoit Delhomme,Gabriel Yared,6,2007,1.15,30290.3301134,94389650.8661,63199325.028,43949372.72,55941777.12,69080239.7125,4744637.1
300,52,2007-03-09,242207179.85,2007-03-09,117.0,R,Period Action,Warner Bros.,Zack Snyder,"Scott Mednick, ,(executive),Gianni Nunnari,Mark Canton,Bernie Goldmann,Jeffrey Silver,Deborah Snyder, ,(executive),Thomas Tull, ,(executive)",74750000.0,3280.0,"Gerard Butler,Lena Headey,Dominic West,David Wenham,Michael Fassbender,Rodrigo Santoro","Michael B. Gordon,Kurt Johnstad,Frank Miller, ,(comic book),Zack Snyder",Larry Fong,Tyler Bates,3,2007,1.15,73843.6523933,46217285.985,134651998.93,74366405.82,90406660.4,29784717.6244,32822.88
A Beautiful Mind,72,2001-12-21,228794736.94,2001-12-21,136.0,PG-13,Period Drama,Universal,Ron Howard,"Brian Grazer,Ron Howard",77720000.0,2250.0,"Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,Paul Bettany,Adam Goldberg,Josh Lucas",Akiva Goldsman,Roger Deakins,James Horner,12,2001,1.34,101686.549751,216540909.0,149941103.737,149941103.737,82067597.4,147045670.526,23063189.1178
Batman Begins,70,2005-06-15,250519404.28,2005-06-15,140.0,PG-13,Action / Adventure,Warner Bros.,Christopher Nolan,"Larry J. Franco,Charles Roven,Emma Thomas",183000000.0,3858.0,"Christian Bale,Michael Caine,Liam Neeson,Morgan Freeman,Gary Oldman,Ken Watanabe,Katie Holmes,Cillian Murphy,Tom Wilkinson*,Rutger Hauer*,Linus Roache*","David S. Goyer,Christopher Nolan",Wally Pfister,"James Newton Howard,Hans Zimmer",6,2005,1.22,64935.0451737,143354169.27,155663499.09,41069576.0667,87369391.32,108601979.353,86681764.7433
Bewitched,34,2005-06-24,77242053.98,2005-06-24,90.0,PG-13,Romantic Comedy,Sony / Columbia,Nora Ephron,"Bobby Cohen, ,(executive),Nora Ephron,Lucy Fisher,Penny Marshall,Douglas Wick",103700000.0,3188.0,"Nicole Kidman,Will Ferrell,Shirley MacLaine,Michael Caine,Jason Schwartzman,Steve Carell*","Nora Ephron,Delia Ephron,Adam McKay",John Lindley,George Fenton,6,2005,1.22,24229.0006211,92070095.63,106874285.976,85453683.6933,107463261.78,53311736.3121,78175329.4067
Big Daddy,41,1999-06-25,233776106.85,1999-06-25,93.0,PG-13,Comedy,Sony / Columbia,Dennis Dugan,"Jack Giarraputo,Adam Sandler, ,(executive),Robert Simonds, ,(Executive)",48906000.0,3254.0,"Adam Sandler,Leslie Mann,Rob Schneider","Tim Herlihy,Adam Sandler",Theo Van de Sande,Teddy Castellucci,6,1999,1.43,71842.6880301,76537551.0,161491646.0,38824099.0,76537551.0,80245725.0,75276880.6033
Charlie Wilson's War,69,2007-12-21,76660259.25,2007-12-21,97.0,R,War Drama,Universal,Mike Nichols,"Gary Goetzman,Tom Hanks,Ryan Kavanaugh, ,(executive),Jeff Skoll, ,(executive)",86250000.0,2594.0,"Tom Hanks,Julia Roberts,Philip Seymour Hoffman,Amy Adams,Emily Blunt,John Slattery*",Aaron Sorkin,Stephen Goldblatt,James Newton Howard,12,2007,1.15,29552.9141288,179090996.949,167522607.843,30169390.5267,141340178.0,112617877.291,39149590.58
Cheaper by the Dozen,46,2003-12-25,178812761.76,2003-12-25,98.0,PG,Family Comedy,Fox,Shawn Levy,Robert Simonds,51600000.0,3307.0,"Steve Martin,Bonnie Hunt,Piper Perabo,Tom Welling,Hilary Duff,Ashton Kutcher","Joel Cohen,Sam Harper,Alec Sokolow",Jonathan Brown,Christophe Beck,12,2003,1.29,54070.9893438,99056070.206,65198321.1975,68119980.51,72404038.98,66701333.6625,68119980.51
Deja Vu,59,2006-11-22,75565566.88,2006-11-22,128.0,PG-13,Romantic Thriller,Buena Vista,Tony Scott,"Jerry Bruckheimer,Terry Rossio, ,(executive)",88500000.0,3108.0,"Denzel Washington,Val Kilmer,Paula Patton,James Caviezel,Adam Goldberg,Elden Henson,Bruce Greenwood","Bill Marsilii,Terry Rossio",Paul Cameron,Harry Gregson-Williams,11,2006,1.18,24313.2454569,222667822.97,160742099.789,97761500.5467,208577687.633,118828078.661,110646547.227
Disturbia,62,2007-04-11,92241145.8,2007-04-13,104.0,PG-13,Drama / Thriller,Paramount (DreamWorks),D.J. Caruso,"Jackie Marcus,Joe Medjuck,Tom Pollock, ,(executive),Ivan Reitman, ,(executive)",23000000.0,3132.0,"Shia LaBeouf,Sarah Roemer,Carrie-Anne Moss,David Morse,Viola Davis","Christopher B. Landon,Carl Ellsworth",Rogier Stoffers,Geoff Zanelli,4,2007,1.15,29451.195977,164847737.91,69893972.455,34614616.65,70627999.66,60508854.0,73113875.5475
Due Date,51,2010-11-05,109587556.87,2010-11-05,95.0,R,Comedy,Warner Bros.,Todd Phillips,"Scott Budnick, ,(executive),Susan Downey, ,(executive),Todd Phillips,Thomas Tull, ,(executive)",70850000.0,3365.0,"Keegan-Michael Key ,(Voice),Robert Downey, Jr.,Zach Galifianakis,Michelle Monaghan,Jamie Foxx,Juliette Lewis,Danny McBride*,RZA*,Charlie Sheen*",Todd Phillips,Larry Sher,Christophe Beck,11,2010,1.09,32566.881685,164798578.115,171384584.653,134381312.44,104342170.005,69421558.6668,178365119.477
Erin Brockovich,73,2000-03-17,173321382.9,2000-03-17,130.0,R,Drama,Universal,Steven Soderbergh,"Gail Lyon, ,(co-producer),Michael Shamberg,Stacey Sher",71760000.0,3070.0,"Aaron Eckhart,Julia Roberts",Susannah Grant,Edward Lachman,Thomas Newman,3,2000,1.38,56456.4765147,126593352.926,70490835.667,4582668.09,65705771.0,85997460.5329,2816764.545
Evan Almighty,37,2007-06-22,115531642.7,2007-06-22,90.0,PG,Fantasy Comedy,Universal,Tom Shadyac,"Gary Goetzman, ,(executive),Gary Barber,Roger Birnbaum,Michael Bostick,Neal H. Moritz,Tom Shadyac,Tom Hanks, ,(executive)",201250000.0,3636.0,"Steve Carell,Morgan Freeman,Lauren Graham,John Goodman,Jonah Hill,Wanda Sykes,John Michael Higgins,Ed Helms*","Steve Oedekerk,Joel Cohen, ,(story),Alec Sokolow, ,(story)",Ian Baker,John Debney,6,2007,1.15,31774.3791804,156228143.312,177920800.872,137866990.338,120029375.708,94748037.7997,33212898.5
