movie_title,movie_score,release_date
#Horror,42,"Nov 20, 2015"
$9.99,68,"Jun 19, 2009"
$pent,34,"Jul 21, 2000"
'71,83,"Feb 27, 2015"
'R Xmas,55,"Nov 8, 2002"
(500) Days of Summer,76,"Jul 17, 2009"
+1,60,"Sep 20, 2013"
...And They Lived Happily Ever After,58,"Apr 8, 2005"
...So Goes the Nation,65,"Oct 4, 2006"
"1,000 Times Good Night",57,"Oct 24, 2014"
10 Cent Pistol,37,"Jul 24, 2015"
10 Items or Less,54,"Dec 1, 2006"
10 Things I Hate About You,70,"Mar 31, 1999"
10 Years,61,"Sep 14, 2012"
"10,000 BC",34,"Mar 7, 2008"
"10,000 km",75,"Jul 10, 2015"
100 Bloody Acres,63,"Jun 28, 2013"
101 Dalmatians,49,"Nov 27, 1996"
102 Dalmatians,35,"Nov 22, 2000"
10th & Wolf,36,"Aug 18, 2006"
11 Flowers,71,"Feb 22, 2013"
11:14,65,"Aug 12, 2005"
12 Rounds,38,"Mar 27, 2009"
12 Years a Slave,97,"Oct 18, 2013"
127 Hours,82,"Nov 5, 2010"
13 Assassins,87,"Apr 29, 2011"
13 Going on 30,57,"Apr 23, 2004"
13 Tzameti,61,"Jul 28, 2006"
14 Blades,50,"Aug 22, 2014"
1408,64,"Jun 22, 2007"
15 Minutes,34,"Mar 9, 2001"
15: The Movie,47,"Apr 13, 2005"
16 Acres,67,"Nov 16, 2012"
16 Blocks,63,"Mar 3, 2006"
16 Years of Alcohol,57,"Mar 18, 2005"
17 Again,48,"Apr 17, 2009"
1911,37,"Oct 7, 2011"
1971,73,"Feb 6, 2015"
1st Night,29,"May 3, 2013"
2 Days in New York,61,"Aug 10, 2012"
2 Days in Paris,67,"Aug 10, 2007"
2 Fast 2 Furious,38,"Jun 6, 2003"
2 Guns,55,"Aug 2, 2013"
20 Centimeters,58,"Oct 27, 2006"
20 Feet from Stardom,83,"Jun 14, 2013"
200 Cigarettes,33,"Feb 26, 1999"
2001: A Space Odyssey,86,"Apr 2, 1968"
2009: Lost Memories,40,"May 20, 2005"
2012,49,"Nov 13, 2009"
2046,78,"Aug 5, 2005"
21,48,"Mar 28, 2008"
21 and Over,34,"Mar 1, 2013"
21 Grams,70,"Nov 21, 2003"
21 Jump Street,69,"Mar 16, 2012"
21 Years: Richard Linklater,51,"Nov 7, 2014"
22 Jump Street,71,"Jun 13, 2014"
23 Blast,45,"Oct 24, 2014"
24 Days,59,"Apr 24, 2015"
24 Hour Party People,85,"Aug 9, 2002"
24 Hours on Craigslist,47,"Jan 19, 2006"
25th Hour,67,"Dec 19, 2002"
27 Dresses,47,"Jan 18, 2008"
28 Days,46,"Apr 14, 2000"
28 Days Later...,73,"Jun 27, 2003"
28 Hotel Rooms,50,"Nov 9, 2012"
28 Weeks Later,78,"May 11, 2007"
3,55,"Sep 16, 2011"
3 Dancing Slaves,46,"Sep 2, 2005"
3 Days to Kill,40,"Feb 21, 2014"
3 Geezers!,9,"May 22, 2013"
3 Hearts,56,"Mar 13, 2015"
3 Idiots,67,"Feb 12, 2010"
3 Needles,48,"Dec 1, 2006"
3 Strikes,11,"Mar 1, 2000"
3 Women,71,"Jun 28, 2002"
"3, 2, 1... Frankie Go Boom",51,"Oct 12, 2012"
3-Iron,72,"Apr 29, 2005"
30 Days of Night,53,"Oct 19, 2007"
30 Minutes or Less,49,"Aug 12, 2011"
30 Years to Life,56,"Apr 5, 2002"
300,52,"Mar 9, 2007"
3000 Miles to Graceland,21,"Feb 23, 2001"
300: Rise of an Empire,48,"Mar 7, 2014"
33 Postcards,33,"May 17, 2013"
35 Shots of Rum,92,"Sep 16, 2009"
360,43,"Aug 3, 2012"
3:10 to Yuma,76,"Sep 7, 2007"
4,72,"Apr 7, 2006"
4 Little Girls,89,"Jul 9, 1997"
4 Minute Mile,48,"Aug 1, 2014"
"4 Months, 3 Weeks and 2 Days",97,"Jan 23, 2008"
40 Days and 40 Nights,53,"Mar 1, 2002"
42,62,"Apr 12, 2013"
42: Forty Two Up,86,"Nov 17, 1999"
44 Inch Chest,47,"Jan 15, 2010"
47 Ronin,28,"Dec 25, 2013"
48 Hrs.,71,"Dec 8, 1982"
49 Up,84,"Oct 6, 2006"
4:44 Last Day on Earth,54,"Mar 23, 2012"
5 Broken Cameras,78,"May 25, 2012"
5 Days of War,31,"Aug 19, 2011"
5 Flights Up,55,"May 8, 2015"
5 to 7,52,"Apr 3, 2015"
50 First Dates,48,"Feb 13, 2004"
50 to 1,37,"May 23, 2014"
50/50,72,"Sep 30, 2011"
52 Tuesdays,71,"Mar 27, 2015"
54,33,"Aug 28, 1998"
56 Up,83,"Jan 4, 2013"
5x2,62,"Jun 10, 2005"
6 Souls,28,"Apr 5, 2013"
6ixtynin9,65,"May 20, 2005"
7 Chinese Brothers,56,"Aug 28, 2015"
7 Days in September,74,"Sep 6, 2002"
7 Minutes,35,"Jun 26, 2015"
71 Fragments of a Chronology of Chance,67,"Jul 14, 2006"
8 Heads in a Duffel Bag,15,"Apr 18, 1997"
8 Mile,77,"Nov 8, 2002"
8 Women,64,"Sep 20, 2002"
8  Women,36,"May 26, 2000"
800 Bullets,51,"Oct 29, 2004"
88 Minutes,17,"Apr 18, 2008"
8: The Mormon Proposition,55,"Jun 18, 2010"
8MM,19,"Feb 26, 1999"
