movie_score,movie_title,release_date
42,#Horror,"Release Date:Nov 20, 2015"
68,$9.99,"Release Date:Jun 19, 2009"
34,$pent,"Release Date:Jul 21, 2000"
83,'71,"Release Date:Feb 27, 2015"
55,'R Xmas,"Release Date:Nov 8, 2002"
76,(500) Days of Summer,"Release Date:Jul 17, 2009"
60,+1,"Release Date:Sep 20, 2013"
58,...And They Lived Happily Ever After,"Release Date:Apr 8, 2005"
65,...So Goes the Nation,"Release Date:Oct 4, 2006"
57,"1,000 Times Good Night","Release Date:Oct 24, 2014"
37,10 Cent Pistol,"Release Date:Jul 24, 2015"
54,10 Items or Less,"Release Date:Dec 1, 2006"
70,10 Things I Hate About You,"Release Date:Mar 31, 1999"
61,10 Years,"Release Date:Sep 14, 2012"
34,"10,000 BC","Release Date:Mar 7, 2008"
75,"10,000 km","Release Date:Jul 10, 2015"
63,100 Bloody Acres,"Release Date:Jun 28, 2013"
49,101 Dalmatians,"Release Date:Nov 27, 1996"
35,102 Dalmatians,"Release Date:Nov 22, 2000"
36,10th & Wolf,"Release Date:Aug 18, 2006"
71,11 Flowers,"Release Date:Feb 22, 2013"
65,11:14,"Release Date:Aug 12, 2005"
38,12 Rounds,"Release Date:Mar 27, 2009"
97,12 Years a Slave,"Release Date:Oct 18, 2013"
82,127 Hours,"Release Date:Nov 5, 2010"
87,13 Assassins,"Release Date:Apr 29, 2011"
57,13 Going on 30,"Release Date:Apr 23, 2004"
61,13 Tzameti,"Release Date:Jul 28, 2006"
50,14 Blades,"Release Date:Aug 22, 2014"
64,1408,"Release Date:Jun 22, 2007"
34,15 Minutes,"Release Date:Mar 9, 2001"
47,15: The Movie,"Release Date:Apr 13, 2005"
67,16 Acres,"Release Date:Nov 16, 2012"
63,16 Blocks,"Release Date:Mar 3, 2006"
57,16 Years of Alcohol,"Release Date:Mar 18, 2005"
48,17 Again,"Release Date:Apr 17, 2009"
37,1911,"Release Date:Oct 7, 2011"
73,1971,"Release Date:Feb 6, 2015"
29,1st Night,"Release Date:May 3, 2013"
61,2 Days in New York,"Release Date:Aug 10, 2012"
67,2 Days in Paris,"Release Date:Aug 10, 2007"
38,2 Fast 2 Furious,"Release Date:Jun 6, 2003"
55,2 Guns,"Release Date:Aug 2, 2013"
58,20 Centimeters,"Release Date:Oct 27, 2006"
83,20 Feet from Stardom,"Release Date:Jun 14, 2013"
33,200 Cigarettes,"Release Date:Feb 26, 1999"
86,2001: A Space Odyssey,"Release Date:Apr 2, 1968"
40,2009: Lost Memories,"Release Date:May 20, 2005"
49,2012,"Release Date:Nov 13, 2009"
78,2046,"Release Date:Aug 5, 2005"
48,21,"Release Date:Mar 28, 2008"
34,21 and Over,"Release Date:Mar 1, 2013"
70,21 Grams,"Release Date:Nov 21, 2003"
69,21 Jump Street,"Release Date:Mar 16, 2012"
51,21 Years: Richard Linklater,"Release Date:Nov 7, 2014"
71,22 Jump Street,"Release Date:Jun 13, 2014"
45,23 Blast,"Release Date:Oct 24, 2014"
59,24 Days,"Release Date:Apr 24, 2015"
85,24 Hour Party People,"Release Date:Aug 9, 2002"
47,24 Hours on Craigslist,"Release Date:Jan 19, 2006"
67,25th Hour,"Release Date:Dec 19, 2002"
47,27 Dresses,"Release Date:Jan 18, 2008"
46,28 Days,"Release Date:Apr 14, 2000"
73,28 Days Later...,"Release Date:Jun 27, 2003"
50,28 Hotel Rooms,"Release Date:Nov 9, 2012"
78,28 Weeks Later,"Release Date:May 11, 2007"
55,3,"Release Date:Sep 16, 2011"
46,3 Dancing Slaves,"Release Date:Sep 2, 2005"
40,3 Days to Kill,"Release Date:Feb 21, 2014"
9,3 Geezers!,"Release Date:May 22, 2013"
56,3 Hearts,"Release Date:Mar 13, 2015"
67,3 Idiots,"Release Date:Feb 12, 2010"
48,3 Needles,"Release Date:Dec 1, 2006"
11,3 Strikes,"Release Date:Mar 1, 2000"
71,3 Women,"Release Date:Jun 28, 2002"
51,"3, 2, 1... Frankie Go Boom","Release Date:Oct 12, 2012"
72,3-Iron,"Release Date:Apr 29, 2005"
53,30 Days of Night,"Release Date:Oct 19, 2007"
49,30 Minutes or Less,"Release Date:Aug 12, 2011"
56,30 Years to Life,"Release Date:Apr 5, 2002"
52,300,"Release Date:Mar 9, 2007"
21,3000 Miles to Graceland,"Release Date:Feb 23, 2001"
48,300: Rise of an Empire,"Release Date:Mar 7, 2014"
33,33 Postcards,"Release Date:May 17, 2013"
92,35 Shots of Rum,"Release Date:Sep 16, 2009"
43,360,"Release Date:Aug 3, 2012"
76,3:10 to Yuma,"Release Date:Sep 7, 2007"
72,4,"Release Date:Apr 7, 2006"
89,4 Little Girls,"Release Date:Jul 9, 1997"
48,4 Minute Mile,"Release Date:Aug 1, 2014"
97,"4 Months, 3 Weeks and 2 Days","Release Date:Jan 23, 2008"
53,40 Days and 40 Nights,"Release Date:Mar 1, 2002"
62,42,"Release Date:Apr 12, 2013"
86,42: Forty Two Up,"Release Date:Nov 17, 1999"
47,44 Inch Chest,"Release Date:Jan 15, 2010"
28,47 Ronin,"Release Date:Dec 25, 2013"
71,48 Hrs.,"Release Date:Dec 8, 1982"
84,49 Up,"Release Date:Oct 6, 2006"
54,4:44 Last Day on Earth,"Release Date:Mar 23, 2012"
78,5 Broken Cameras,"Release Date:May 25, 2012"
31,5 Days of War,"Release Date:Aug 19, 2011"
55,5 Flights Up,"Release Date:May 8, 2015"
52,5 to 7,"Release Date:Apr 3, 2015"
48,50 First Dates,"Release Date:Feb 13, 2004"
37,50 to 1,"Release Date:May 23, 2014"
72,50/50,"Release Date:Sep 30, 2011"
71,52 Tuesdays,"Release Date:Mar 27, 2015"
33,54,"Release Date:Aug 28, 1998"
83,56 Up,"Release Date:Jan 4, 2013"
62,5x2,"Release Date:Jun 10, 2005"
28,6 Souls,"Release Date:Apr 5, 2013"
65,6ixtynin9,"Release Date:May 20, 2005"
56,7 Chinese Brothers,"Release Date:Aug 28, 2015"
74,7 Days in September,"Release Date:Sep 6, 2002"
35,7 Minutes,"Release Date:Jun 26, 2015"
67,71 Fragments of a Chronology of Chance,"Release Date:Jul 14, 2006"
15,8 Heads in a Duffel Bag,"Release Date:Apr 18, 1997"
77,8 Mile,"Release Date:Nov 8, 2002"
64,8 Women,"Release Date:Sep 20, 2002"
36,8  Women,"Release Date:May 26, 2000"
51,800 Bullets,"Release Date:Oct 29, 2004"
17,88 Minutes,"Release Date:Apr 18, 2008"
55,8: The Mormon Proposition,"Release Date:Jun 18, 2010"
19,8MM,"Release Date:Feb 26, 1999"
60,9,"Release Date:Sep 9, 2009"
21,9 Dead Gay Guys,"Release Date:Oct 17, 2003"
43,9 Songs,"Release Date:Jul 22, 2005"
28,90 Minutes in Heaven,"Release Date:Sep 11, 2015"
76,99 Homes,"Release Date:Sep 25, 2015"
52,cause d'un garon,"Release Date:Jun 18, 2004"
63,Tout de Suite (Right Now),"Release Date:Apr 29, 2005"
78,a commence aujourd'hui,"Release Date:Sep 8, 2000"
70,vocateur: The Morton Downey Jr. Movie,"Release Date:Jun 7, 2013"
36,on Flux,"Release Date:Dec 2, 2005"
55,A Ballerina's Tale,"Release Date:Oct 14, 2015"
77,A Band Called Death,"Release Date:Jun 28, 2013"
72,A Beautiful Mind,"Release Date:Dec 21, 2001"
61,A Birder's Guide to Everything,"Release Date:Mar 21, 2014"
73,A Borrowed Identity,"Release Date:Jun 26, 2015"
70,A Brave Heart: The Lizzie Velasquez Story,"Release Date:Sep 25, 2015"
65,A Brilliant Young Mind,"Release Date:Sep 11, 2015"
80,A Bronx Tale,"Release Date:Sep 23, 1993"
77,A Bug's Life,"Release Date:Nov 25, 1998"
38,A Case of You,"Release Date:Nov 6, 2013"
63,A Cat in Paris,"Release Date:Jun 1, 2012"
52,cause d'un garon,"Release Date:Jun 18, 2004"
46,A Chorus Line,"Release Date:Dec 9, 1985"
49,A Christmas Horror Story,"Release Date:Oct 2, 2015"
77,A Christmas Story,"Release Date:Nov 18, 1983"
84,A Christmas Tale,"Release Date:Nov 14, 2008"
25,A Cinderella Story,"Release Date:Jul 16, 2004"
68,A Civil Action,"Release Date:Dec 25, 1998"
78,A Clockwork Orange,"Release Date:Dec 20, 1971"
63,A Coffee In Berlin,"Release Date:Jun 13, 2014"
63,A Common Thread,"Release Date:May 27, 2005"
46,A Country Called Home,"Release Date:Feb 26, 2016"
76,A Dangerous Method,"Release Date:Nov 23, 2011"
31,A Dark Truth,"Release Date:Jan 4, 2013"
30,A Day Without a Mexican,"Release Date:May 14, 2004"
67,A Decade Under the Influence,"Release Date:Apr 25, 2003"
56,A Dirty Shame,"Release Date:Sep 24, 2004"
38,A Dog of Flanders,"Release Date:Aug 27, 1999"
50,A Family Affair,"Release Date:May 9, 2003"
71,A Family Thing,"Release Date:Mar 29, 1996"
34,A Farewell to Fools,"Release Date:Mar 7, 2014"
62,A Few Good Men,"Release Date:Dec 11, 1992"
73,A Field in England,"Release Date:Feb 7, 2014"
80,A Fish Called Wanda,"Release Date:Jul 29, 1988"
51,A Five Star Life,"Release Date:Jul 18, 2014"
53,A Foreign Affair,"Release Date:May 7, 2004"
41,A Girl and a Gun,"Release Date:Jul 3, 2013"
54,A Girl Like Her,"Release Date:Mar 27, 2015"
81,A Girl Walks Home Alone at Night,"Release Date:Nov 21, 2014"
28,A Glimpse Inside the Mind of Charles Swan III,"Release Date:Feb 8, 2013"
74,A Good Baby,"Release Date:Dec 1, 2000"
28,A Good Day to Die Hard,"Release Date:Feb 14, 2013"
44,A Good Old Fashioned Orgy,"Release Date:Sep 2, 2011"
53,A Good Woman,"Release Date:Feb 6, 2006"
47,A Good Year,"Release Date:Nov 10, 2006"
67,A Guide to Recognizing Your Saints,"Release Date:Sep 29, 2006"
27,A Guy Thing,"Release Date:Jan 17, 2003"
76,A Hard Day,"Release Date:Jul 17, 2015"
96,A Hard Day's Night (re-release),"Release Date:Dec 1, 2000"
20,A Haunted House,"Release Date:Jan 11, 2013"
17,A Haunted House 2,"Release Date:Apr 18, 2014"
82,A Hijacking,"Release Date:Jun 21, 2013"
81,A History of Violence,"Release Date:Sep 23, 2005"
37,A Hole in One,"Release Date:May 6, 2005"
59,A Home at the End of the World,"Release Date:Jul 23, 2004"
68,A Housekeeper,"Release Date:Jul 11, 2003"
55,A Jihad for Love,"Release Date:May 21, 2008"
54,A Knight's Tale,"Release Date:May 11, 2001"
67,A Late Quartet,"Release Date:Nov 2, 2012"
66,A League of Ordinary Gentlemen,"Release Date:May 27, 2005"
67,A League of Their Own,"Release Date:Jul 1, 1992"
51,A LEGO Brickumentary,"Release Date:Jul 31, 2015"
65,A Letter to Momo,"Release Date:Jul 23, 2014"
45,A Liar's Autobiography - The Untrue Story of Monty Python's Graham Chapman,"Release Date:Nov 2, 2012"
69,A Life in Dirty Movies,"Release Date:Sep 19, 2014"
35,A Life Less Ordinary,"Release Date:Oct 24, 1997"
14,A Little Bit of Heaven,"Release Date:May 4, 2012"
51,A Little Chaos,"Release Date:Jun 26, 2015"
83,A Little Princess,"Release Date:May 20, 1995"
34,A Long Way Down,"Release Date:Jul 11, 2014"
48,A Lot Like Love,"Release Date:Apr 22, 2005"
52,A Love Divided,"Release Date:Jun 1, 2001"
48,A Love Song for Bobby Long,"Release Date:Dec 29, 2004"
36,A Man Apart,"Release Date:Apr 4, 2003"
63,A Man Named Pearl,"Release Date:Jul 11, 2008"
62,A Man of No Importance,"Release Date:Dec 22, 1994"
65,A Map of the World,"Release Date:Dec 3, 1999"
74,A Matter of Taste,"Release Date:Sep 7, 2001"
28,A Merry Friggin' Christmas,"Release Date:Nov 7, 2014"
61,A Midsummer Night's Dream,"Release Date:May 14, 1999"
74,A Mighty Heart,"Release Date:Jun 22, 2007"
81,A Mighty Wind,"Release Date:Apr 16, 2003"
44,A Million Ways to Die in the West,"Release Date:May 30, 2014"
70,A Moment of Innocence,"Release Date:Nov 10, 1999"
79,A Most Violent Year,"Release Date:Dec 31, 2014"
73,A Most Wanted Man,"Release Date:Jul 25, 2014"
76,A Mother's Courage: Talking Back to Autism,"Release Date:Sep 24, 2010"
70,A Murder in the Park,"Release Date:Jun 26, 2015"
26,A Night at the Roxbury,"Release Date:Oct 2, 1998"
45,A Night in Old Mexico,"Release Date:May 16, 2014"
72,A People Uncounted,"Release Date:May 16, 2014"
63,A Perfect Getaway,"Release Date:Aug 7, 2009"
31,A Perfect Man,"Release Date:Nov 1, 2013"
50,A Perfect Murder,"Release Date:Jun 5, 1998"
68,A Place at the Table,"Release Date:Mar 1, 2013"
75,A Prairie Home Companion,"Release Date:Jun 9, 2006"
55,A Real Young Girl,"Release Date:Jun 1, 2001"
68,A River Runs Through It,"Release Date:Oct 9, 1992"
80,A Room with a View,"Release Date:Apr 1, 1986"
73,A Royal Affair,"Release Date:Nov 9, 2012"
35,A Rumor of Angels,"Release Date:Feb 1, 2002"
73,A Scanner Darkly,"Release Date:Jul 7, 2006"
72,A Secret,"Release Date:Sep 5, 2008"
95,A Separation,"Release Date:Dec 30, 2011"
79,A Serious Man,"Release Date:Oct 2, 2009"
52,A Shine of Rainbows,"Release Date:Apr 23, 2010"
54,A Short History of Decay,"Release Date:May 16, 2014"
66,A Shot at Glory,"Release Date:May 3, 2002"
82,A Simple Plan,"Release Date:Dec 11, 1998"
77,A Single Man,"Release Date:Dec 11, 2009"
53,A Single Shot,"Release Date:Sep 20, 2013"
44,A Slipping-Down Life,"Release Date:May 14, 2004"
65,A Soldier's Daughter Never Cries,"Release Date:Sep 18, 1998"
72,A Song for Martin,"Release Date:Dec 21, 2001"
24,A Sound of Thunder,"Release Date:Sep 2, 2005"
70,A Spell to Ward Off the Darkness,"Release Date:Dec 5, 2014"
63,A State of Mind,"Release Date:Aug 10, 2005"
91,A Summer's Tale,"Release Date:Jun 20, 2014"
36,A Tale of Two Pizzas,"Release Date:Oct 7, 2005"
65,A Tale of Two Sisters,"Release Date:Dec 10, 2004"
75,A Talking Picture,"Release Date:Dec 10, 2004"
64,A Thousand Years of Good Prayers,"Release Date:Sep 19, 2008"
54,A Time to Kill,"Release Date:Jul 24, 1996"
77,A Touch of Sin,"Release Date:Oct 4, 2013"
63,Tout de Suite (Right Now),"Release Date:Apr 29, 2005"
70,A Town Called Panic,"Release Date:Dec 16, 2009"
61,A Very Harold & Kumar Christmas,"Release Date:Nov 4, 2011"
76,A Very Long Engagement,"Release Date:Nov 26, 2004"
46,A Wake in Providence,"Release Date:May 27, 2005"
57,A Walk Among the Tombstones,"Release Date:Sep 19, 2014"
51,A Walk in the Woods,"Release Date:Sep 2, 2015"
70,A Walk on the Moon,"Release Date:Mar 26, 1999"
35,A Walk to Remember,"Release Date:Jan 25, 2002"
67,A Whisper to a Roar,"Release Date:Oct 12, 2012"
